Latitude;longitude;partners
-4.0801868258676866;30.76403486130883;11;
-4.172330988551976;30.874895228554198;7;
-4.273677073951572;30.874895228554198;7;
-4.4763287467669866;30.78251158918308;7;
-7.828420878387153;31.475388884466597;7;
-7.9016325553093845;31.299859969661416;7;
-8.888671993854352;32.63942274054289;11;
-7.168951005139521;33.11981766527279;12;
-7.168951005139521;33.11981766527279;9;
-7.681959049531672;33.70183459331094;7;
-7.993128882669674;33.96974714748724;7;
-7.9748312508543355;34.25613642953775;7;
-8.21263594361369;34.09908424260683;11;
-3.4717813201152024;36.06685576121205;7;
-3.1766514263627896;35.955995393966674;11;
-3.296558565714029;35.58646083648214;7;
-4.246038547572816;35.17997282324913;7;
-4.365798264014151;35.2446413708089;7;
-6.049379057048279;36.131524308771816;7;
-5.838039090619397;36.02990230546357;7;
-5.635813168477863;35.752751387350145;1;
-6.848024688380699;37.36022671240792;7;
-4.356586649891754;37.66509272233269;7;
-6.68289212573603;38.672074391478056;7;
-7.040607036420242;38.64435929966671;7;
-6.3432792814105685;39.50352714581829;13;
-6.159610784780249;39.43885859825847;13;
-5.081890048805033;39.80990889045443;13;
-5.232762621638583;39.79825612977817;13;
